	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
8	Ai Web Design	We provide web designing in India. Website Vale brings across the experienced team of web designers and offers comprehensive websites.	2024-02-03	Advertising,Digital Marketing,Information Technology,SEO,Web Design,Web Development,Web Hosting	11-50	NA	https://www.aiwebdesign.co.in	Jaipur,Rajasthan,India,Asia	6030	seed	Sanket Rajkak	5bfc1b2d-1ef1-4a97-b7a9-0f2059465701	Not found	NA	-0.3	2.0	9.9	31595.0	active	0.5582901653453285
47	RevSite	RevSite.com helps small-medium sized businesses revamp their outdated/underperforming websites and specializes in new website development.	2023-01-01	Web Design,Web Development	1-10	$1M to $10M	https://revsite.com/	Costa Mesa,California,United States,North America	2100000	early_stage_venture	Gavin Harlien,Jacob Garlick	0a45bbc0-7fa3-4081-906a-97de578dc622,bf424a13-5b69-3d97-48c9-a7c92e6e6117	Not found	NA	0.5	-0.4	-0.8	114356.0	active	0.5990054784881336
54	Webwowzers	Webwowzers is a website builder that offers an easy-to-navigate and user-friendly interface.	2021-01-01	Web Apps,Web Design,Web Development	1-10	NA	https://www.webwowzer.com/	Gainesville,Virginia,United States,North America	225800	seed	Not found	Not found	Not found	NA	0.0	0.0	-0.2	120522.0	active	0.6038454614007603
63	Wavespace	We specialize in taking ideas from concept to company. As a leading UI/UX design agency, we offer high-quality services	2021-01-04	Apps,Brand Marketing,Consulting,Creative Agency,Product Design,Project Management,Software,UX Design,Web Design,Web Development	11-50	NA	https://www.wavespace.agency/	Dhaka,Dhaka,Bangladesh,Asia	100000	seed	Shahid Miah	855ccd62-3fd5-4912-99a3-bd0830f459ca	Not found	NA	-0.1	-0.1	-0.4	147320.0	active	0.6122771539745602
36	Musemind - UI/UX Design, Web Design, Branding, & Webflow	We are a team of experienced strategists and designers who collaborate with businesses of all sizes to design and launch digital products.	2021-12-01	Business Intelligence,Consulting,Enterprise Software,Product Design,Usability Testing,UX Design,Web Design	11-50	Less than $1M	https://musemind.agency/	Sheridan,Wyoming,United States,North America	50000	seed	Nasir Uddin	65981e90-37a4-4d4f-9689-7f38f1835ebd	Not found	NA	0.0	0.0	-0.3	95334.0	active	0.6179875572159501
49	Bi Studio®	We are full-service creative agency specialised in crafting human-centric digital experiences.	2021-04-11	Consulting,Information Technology,Software,Web Design,Web Development	11-50	NA	https://www.bistudio.io/	Delaware,Ohio,United States,North America	12267	seed	VENKAT NANGEDDA	b842bfc4-6a5e-42f6-8bee-adc1f588aa49	VENKAT NANGEDDA	1.0	-0.1	-0.1	-0.3	114806.0	active	0.632778096151372
29	FWD Creatives	Design and Development Agency	2021-01-01	Graphic Design,Product Design,Software,Web Design,Web Development	11-50	NA	https://fwdcreatives.com	Dubai,Dubai,United Arab Emirates,Asia	772254	early_stage_venture	Abhilash James,Shabeer PS	2404e71c-2d2e-4af9-a674-b57eb48d08e7,3e3e5236-2613-4dec-aeda-2528fb8e7c79	Shabeer PS	1.0	0.0	1.9	0.4	81376.0	active	0.633116875671082
27	Portrait	Create stunning, decentralized websites for your Web3 identity. No coding and design experience required.	2022-01-01	Artificial Intelligence (AI),Graphic Design,Web Design,Web3	1-10	NA	https://portrait.gg	California,Kentucky,United States,North America	200000	seed	Not found	Not found	LongHash Ventures,Protocol Labs	2.0	-0.2	-0.2	1.8	80205.0	active	0.6367036792965635
65	Deep Designing	Our mission is grounded in both the world in which we live and the future we strive to create.	2021-08-08	E-Learning,Graphic Design,Information Technology,Professional Services,Service Industry,Web Design,Web Development,Web Hosting	1-10	NA	https://pragyadeeps7.wixsite.com/design	Firozabad,Uttar Pradesh,India,Asia	13177	seed	Pragyadeep Singh,Tushar Gautam	4431fdb2-6355-4559-85c4-26905c93766a,8246be7a-41ed-4f54-b085-708b1cc475d2	Pragyadeep Singh	1.0	0.3	0.0	-0.1	153197.0	active	0.6407886352476617
58	Zample Studio	AI-Based Technology company for websites and managed services	2021-01-05	Artificial Intelligence (AI),Graphic Design,Information Technology,Professional Services,Web Design,Web Development	11-50	NA	https://zamplestudio.com/	Phoenix,Arizona,United States,North America	350000	NA	Not found	Not found	Not found	NA	-0.1	-0.1	-0.2	126564.0	active	0.648952985540915
41	Odus Studio	OdusStudio specializes in dashboards, portals, CRMs, and apps that are so intuitive, they practically read your mind—no crystal ball needed!	2023-11-05	Product Design,Software,UX Design,Web Design	1-10	NA	https://odus.studio/	Austin,Texas,United States,North America	100000	seed	Hamad Pervaiz	ce555cff-5071-4020-986b-4555c8309f7d	Hamad Pervaiz	1.0	-0.2	-0.4	-0.1	103843.0	active	0.6499088698998133
32	Keepo	Design-oriented mini website builder with free and premium features for basic or advanced users	2021-03-01	Internet,Marketing,Software,Web Design	1-10	NA	https://www.keepo.bio	Natal,Rio Grande do Norte,Brazil,South America	110855	seed	Andre Buarque,Fernando Moraes,Tiago Castro	d4e5ff9b-3840-451f-b7a9-a54538aea967,e9a2ba57-ec22-4db1-826a-2cee76c8049b,285793bd-5a88-4dac-ba71-5b1a5bf98605	Carbon Capital	1.0	0.0	-0.2	-0.1	86698.0	active	0.6579596379404945
33	Peach Worlds	Peach Worlds is the Squarespace for 3D immersive websites.	2022-01-01	3D Technology,Web Design	11-50	NA	https://peachworlds.com/	Covent Garden,Essex,United Kingdom,Europe	540000	seed	Not found	Not found	Blockchain Founders Fund,ID345	2.0	-0.1	-0.6	-2.9	91430.0	active	0.6584418144871366
13	Codejet	Turn your designs into production-ready frontend <code> for web at blazing fast speed without compromising on code-quality and devex.	2022-05-05	Information Technology,Software,Web Design,Web Development	1-10	NA	https://codejet.ai/	San Francisco,California,United States,North America	760260	seed	Daniel Niedzielak,Patryk Pijanowski,Sebastian Kurzynowski	d1dd2671-9e09-411f-b7e7-8d69fb81b097,427bddb1-2de9-4bcf-8947-86d88c149b36,121bb297-799c-475c-9dc1-7cfdc1d79472	Sunfish Partners,TERRA seed,Fabian Q. Veit,Bartłomiej Roszkowski,Minh Nguyen	5.0	-0.3	-1.1	2.6	51133.0	active	0.662064828746148
70	RAIIZZO	Online Web Development Agency	2022-01-01	E-Commerce,Information Technology,SEO,Web Design,Web Development	1-10	NA	https://www.raiizzo.com	Manama,Al Manamah,Bahrain,Asia	9000	seed	Ameer Qadri,Ashley Jacob	3ed80667-acb3-4b9b-81de-cbcf38f4efb1,34eaf8f6-c59b-4626-8c2b-b9cb452a2be6	Not found	NA	0.3	-0.1	-0.2	173863.0	active	0.6639592623524639
80	Agam Technologies	Agam Technologies is a leading Development & Design expert company that provides superior Software, Web, Mobile, and Creative Designing.	2021-03-10	Mobile Apps,Software,Web Design	1-10	NA	https://agamtechnologies.co.uk/services.html	Colombo,Western,Sri Lanka,Asia	70000	seed	Not found	Not found	Not found	NA	0.2	-0.1	-0.5	225460.0	active	0.6649101904791326
37	Equalize Digital	Equalize Digital is a Certified B Corporation that specializes in web accessibility products and consulting.	2022-01-01	SaaS,Web Apps,Web Design,Web Development	11-50	Less than $1M	https://equalizedigital.com/	Georgetown,Texas,United States,North America	300000	seed	Amber Hinds	01f03ab6-18c3-4e5f-aa81-9d6972a7a73f	MassChallenge	1.0	0.0	-0.3	-0.2	96044.0	active	0.665894747756706
89	Tokowebsite @Senayan	Premium & Luxury Web Services for Business.	2023-01-01	Semantic Web,Software,Web Apps,Web Design,Web Development,Web Hosting,Web3	51-100	NA	https://www.tokowebsite.co.id	Jakarta Pusat,Jakarta Raya,Indonesia,Asia	0	seed	Not found	Not found	8Ventures	1.0	-0.1	-0.1	9.3	294847.0	active	0.666786198682376
121	Dorset Tech	Website and Development Agency	2023-01-01	Apps,Digital Marketing,SEO,Software,Web Design,Web Development	11-50	NA	https://dorset.tech	Shaftesbury,Dorset,United Kingdom,Europe	222729	private_equity	Chris Ryu,Chris Ryu	55441b51-d134-4bec-a4f2-302579b65a13,7b89b1bd-ff03-4cd9-ba69-fd20b33e3e0f	NEOGRAM LTD,Chris Ryu,Goldman Startups	3.0	NA	NA	NA	NA	active	0.6673460766781671
23	Smobler Studios	Smobler Studios is a metaverse architecture and Web3 design agency.	2021-01-01	Animation,Graphic Design,Metaverse,Web Design,Web3	11-50	$1M to $10M	https://www.smoblerstudios.com/	Calgary,Alberta,Canada,North America	1300000	seed	Not found	Not found	Brinc,The Sandbox,Enjinstarter,Brinc Accelerator of Accelerators	4.0	-0.1	0.0	-0.1	67527.0	active	0.6694981404213239
30	Propel DX	Digital marketing, Web Design, Business Intelligence and marketing Automation Company	2024-01-19	Advertising,Artificial Intelligence (AI),Brand Marketing,Digital Marketing,Digital Media,Machine Learning,Marketing,SEO,Web Design	1-10	NA	https://propeldx.io	Kuliyapitiya,North Western,Sri Lanka,Asia	35000	seed	Rukshan Devinda	a21cee38-9bac-4516-b7d1-f97a73c161d8	Not found	NA	0.0	-0.3	9.8	83121.0	active	0.6704528279772769
