	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
1513	Agent AI	All-In-One AI Platform, Personalized AI Agents	2022-10-01	Artificial Intelligence (AI),SaaS	11-50	NA	https://agentai.cloud	Sisli,Istanbul,Turkey,Europe	850000	seed	Orion Blakesley	66b57c1b-43a9-405c-883b-05d1c2f9fcb8	Open Range Ventures	1.0	0.0	1.5	-0.5	68818.0	active	0.4848668651525765
3297	AutoAgents	AutoAgents is committed to offering software services for intelligent assistants (Copilot) and autonomous agents (AI Agents) through AI.	2023-06-01	Artificial Intelligence (AI),Information Technology,Software	NA	NA	https://autoagents.ai	Not found	0	seed	Not found	Not found	Sinovation Ventures,Qixi Investment	2.0	0.8	0.0	-1.3	322957.0	active	0.49137799233256785
307	SynthFlow AI	Build AI Agents at Scale. No Coding Required.	2023-07-01	Artificial Intelligence (AI),Information Technology,Internet,Software,Software Engineering	1-10	NA	https://synthflow.ai	Berlin,Berlin,Germany,Europe	1584617	seed	Hakob Astabatsyan	076528da-2868-42f6-b8a2-7b2db66efaf2	Atlantic Labs,BigStory VC	2.0	1.2	4.4	6.0	12672.0	active	0.49846538410564334
2363	SourceAI	SourceAI is an AI-powered tool that can generate code in any programming language from any human language description.	2021-01-01	Artificial Intelligence (AI),Developer Tools,Machine Learning,Q&A,SaaS,Software,Web Apps,Web Design	11-50	NA	https://sourceai.dev	Luxembourg,Luxembourg,Luxembourg,Europe	12218	seed	Furkan BEKTES	d85e78a8-3e04-407b-9d8a-c01de04d91e5	Not found	NA	0.1	0.6	0.1	124269.0	active	0.5004478301391299
2952	NeuralAgent	Explainable AI-Agent Foundation Models for distributed autonomous intelligence	2021-07-27	Artificial Intelligence (AI),Information Technology,Network Hardware,Software,Telecommunications	1-10	NA	http://neuralagent.ai	Weßling,Bayern,Germany,Europe	0	NA	Burak Uzman,Dr. Onur Deniz	c2738034-3234-496f-8928-5aa032f76bc6,b1c3d510-aea2-4f36-b729-3ae17dff680b	European Space Agency	1.0	0.3	1.2	2.0	216884.0	active	0.5130152374290781
238	PureCode AI	PureCode AI is a front-end developer tool where engineers can use text to describe and generate or customize software user interfaces.	2021-05-01	Artificial Intelligence (AI),Developer Tools,Information Services,Information Technology,Software,Software Engineering,Web Development	51-100	$1M to $10M	https://purecode.ai/	Austin,Texas,United States,North America	3000000	seed	Edward Daniel	74efd1dc-0da0-43a2-ac69-c93de36f8ab4	ff Venture Capital,Draper Associates	2.0	0.2	2.9	6.6	9687.0	active	0.5155170881530671
994	Keywords AI	Unified DevOps platform to build AI applications.	2023-01-01	Artificial Intelligence (AI),B2B,Machine Learning,Natural Language Processing,SaaS	1-10	NA	https://keywordsai.co	San Francisco,California,United States,North America	500000	seed	Andy Li,Raymond Huang	2b5013b4-e8e2-4e2f-af9a-331c19e59fb7,2d630223-cff3-4f03-947c-0ab44c4d5409	Y Combinator	1.0	0.7	0.0	-0.2	43128.0	active	0.5157207455821226
1626	Agent Copilot	Personalized AI Video Agents for Customer Experience	2023-01-01	Artificial Intelligence (AI),Marketing Automation,SaaS,Sales Automation,Software	1-10	NA	https://agentcopilot.ai/	San Francisco,California,United States,North America	125000	seed	JOSE L ROQUENI	8c6259bf-ce85-e2af-6418-1a142922f136	Not found	NA	-0.2	-0.5	-0.5	74519.0	active	0.5194472430909367
1288	AITopTools	AITopTools is an AI tools directory website that offers a comprehensive and current list of AI tools available online.	2023-01-01	Artificial Intelligence (AI),Consumer Reviews,Information Technology,Machine Learning,Natural Language Processing	1-10	NA	https://www.aitoptools.com	Not found	135000	seed	Michael Kleinman	e6e2c0ea-7c7e-4e1e-a58f-b4d380c740a1	Mucker Capital	1.0	0.3	0.0	-0.3	57343.0	active	0.5199336358184113
111	Kusho	Kusho builds autonomous AI agents for software engineering teams	2022-01-01	Artificial Intelligence (AI),Developer Tools,Generative AI,SaaS,Software	1-10	NA	https://kusho.ai/	San Francisco,California,United States,North America	600000	seed	Abhishek Saikia,Sourabh Gawande	bc8da097-da18-42fa-a08d-3a9a4a0683e3,83c17e83-96ef-44d1-8c85-8230a1973b72	Blume Ventures,Antler India,Upsparks,Mohit Kumar,Vatsal singhal	6.0	-1.0	-1.4	9.8	4560.0	active	0.5209909198308826
1352	Begin AI	Begin AI is a platform that enables B2C product managers launch recommenders and other retention feature in minutes.	2021-01-01	Artificial Intelligence (AI),Information Technology,Machine Learning,Software	1-10	$1M to $10M	http://www.begin.ai	Halifax,Nova Scotia,Canada,North America	1500000	NA	Rima Al Shikh	00643674-42d9-9270-70be-5cf270b7d718	Tom Williams,Sandpiper Ventures	2.0	-0.1	0.0	-0.7	59901.0	active	0.522245861315482
1188	AI Like Me	AI Like Me is a generative AI chatbot startup.	2023-09-01	Artificial Intelligence (AI),SNS,Software	NA	NA	https://about.ailike.me	Not found	771379	seed	Not found	Not found	Klim Ventures	1.0	-0.2	0.9	-0.2	51891.0	active	0.522264844622936
1412	AI Library	No Code Platform to build Generative AI Solutions	2023-08-30	Artificial Intelligence (AI),Information Technology,Software	1-10	NA	https://www.ailibrary.ai	Menlo Park,California,United States,North America	750000	seed	Amit Narayan,Arani Chaudhuri	cdb2e40e-67a8-7bde-9e1d-36bbfa06ff46,6cce7706-f861-778c-4b83-c35bc4daa31e	Amit Narayan	1.0	-0.3	-0.3	-0.3	63301.0	active	0.5239668967174178
3163	AI Box	No-Code AI App Builder and Marketplace	2022-01-01	Apps,Artificial Intelligence (AI),Enterprise Software,Machine Learning,Natural Language Processing,SaaS	11-50	NA	https://aibox.ai	Phoenix,Arizona,United States,North America	0	seed	Ben Pierson,Jaeden Schafer,Jillian Schafer	0f365bfe-2f52-4a99-a568-5d6af49e0d22,adff45f4-1346-4b1d-8d33-58aab8096460,5654bbe7-0530-451b-b5a1-7702b4ef30dd	Not found	NA	-0.1	0.0	2.9	266488.0	active	0.5257470492898938
2506	Project AI 2.0	Project AI 2.0 is a large language model platform, dedicated to building a brand new AI2.0 platform and AI-first productivity applications.	2023-01-01	Artificial Intelligence (AI),Information Technology,Machine Learning	101-250	$50M to $100M	https://www.chuangxin.com/ai2	Haidian,Beijing,China,Asia	0	seed	Not found	Not found	Sinovation Ventures,IDG Capital	2.0	0.0	-0.1	-0.1	139907.0	active	0.5259496375321493
575	PartyKit	PartyKit is an open source deployment platform for AI agents.	2023-01-01	Artificial Intelligence (AI),Software	1-10	NA	https://www.partykit.io/	London,England,United Kingdom,Europe	2500000	seed	Not found	Not found	Sequoia Capital,Tiny VC,Remote First Capital,Rishabh Kaul,Guillermo Rauch	19.0	0.1	0.4	-0.1	23692.0	active	0.5276165091979648
590	Quack AI	Make collaborative software development scale efficiently	2023-01-31	Artificial Intelligence (AI),Developer Tools,Machine Learning,Software,Software Engineering	1-10	NA	https://quackai.com	Paris,Ile-de-France,France,Europe	900000	seed	François-Guillaume Fernandez	7ebf521d-2461-49b6-aa7b-9a3f055256db	Y Combinator,Entrepreneur First,AGORANOV,Clément Delangue,Sequoia Capital (SSF)	6.0	1.1	2.6	4.4	24420.0	active	0.5290262870675575
1053	Anyone AI	Anyone AI is an edtech startup that invests in Latin American people in order to bridge the AI talent gap.	2022-01-01	Artificial Intelligence (AI),Machine Learning,Real Time	1-10	NA	http://www.anyoneai.com/	Wilmington,Delaware,United States,North America	1500000	seed	Not found	Not found	Latitud,Global Founders Capital,Canvas Ventures,Magma Partners,Lotux	14.0	0.0	0.4	-0.1	45696.0	active	0.5319263768701312
482	Align AI	Align AI is a next-generation product analytics tool for LLM-powered conversational AI products.	2021-05-25	Artificial Intelligence (AI),B2B,Machine Learning,SaaS,Software	11-50	NA	https://tryalign.ai/	San Jose,California,United States,North America	4300000	seed	Gijung Kim,Joowon Kim,Juyoung Jeong	1881bb45-3cc6-41f6-8290-6533fa2e9d1d,d0d704fd-ece6-47ab-9e30-948b09acd6cc,7384a957-2741-4e8a-94b9-12539e156244	KB Investment,Seoul National University Technology Holdings,Danal	3.0	-0.3	-1.6	9.5	19722.0	active	0.5336815342330121
274	Stack AI	Stack AI offers a no-code platform to deploy enterprise-grade AI applications and automated workflows.	2022-12-01	Artificial Intelligence (AI),Consulting,E-Commerce,Information Technology,Internet,Machine Learning,Software	11-50	$1M to $10M	https://stack-ai.com	Cambridge,Massachusetts,United States,North America	500000	seed	Antoni Rosinol,Bernardo Aceituno	122d6482-2f68-4ce9-bc79-daae214262da,0c60fb6b-d151-4714-b501-38a02b51c035	Y Combinator,Beat Ventures	2.0	0.4	3.1	6.3	11421.0	active	0.5353354812939479
553	ThirdAI	ThirdAI is a cutting-edge artificial intelligence startup focused on creating scalable and long-term AI solutions.	2021-04-15	Artificial Intelligence (AI),Machine Learning	1-10	$1M to $10M	https://www.thirdai.com	Houston,Texas,United States,North America	6000000	seed	Anshumali Shrivastava,Paul Holzhauer,Tharun Medini	1208f214-54a7-44a8-a52c-bb91f82c85d8,18c7b68c-48f8-4d36-9db7-a674b6b33b6f,6481bc6c-2cef-4024-8917-f2cca485ce35	Firebolt Ventures,Neotribe Ventures,Cervin Ventures	3.0	0.0	0.3	4.2	22972.0	active	0.5354275875894215
36	Liquid AI	Liquid AI is a developer of AI applications that help improve human experience.	2023-01-01	Artificial Intelligence (AI),Generative AI,Information Technology,Machine Learning	1-10	$1M to $10M	http://liquid.ai	Brookline,Massachusetts,United States,North America	43200000	seed	Alexander Amini,Daniela Rus,Mathias Lechner,Ramin Hasani	43691abc-0db8-4fbc-a995-99db4ce4e5e7,fd1c1865-aaff-e375-807f-baf105b26182,fc7b5436-94fd-4723-9b3a-c10c85f77869,17328c4f-0412-4c11-88a8-03368d38fa59	Automattic,Capgemini,Bold Capital Partners,Breyer Capital,Isai	26.0	0.8	3.6	-3.3	1051.0	active	0.5357564343493775
586	Lyzr AI	Private and Secure AI Agents for Enterprise	2023-07-01	Apps,Artificial Intelligence (AI),Enterprise Applications,Enterprise Software,Generative AI,Information Technology,Language Learning,Machine Learning,Open Source,SaaS	11-50	NA	https://www.lyzr.ai	Jersey City,New Jersey,United States,North America	200000	seed	Siva S	3cf8e3da-ade9-2d9f-929a-ec315ecfe1fd	Y Combinator	1.0	0.3	2.4	7.5	24218.0	active	0.5358276767353997
218	Leap AI	Build powerful AI workflows in minutes.	2023-01-01	Apps,Artificial Intelligence (AI),Developer APIs,Internet,Machine Learning,SaaS	1-10	NA	https://tryleap.ai	San Francisco,California,United States,North America	1400000	seed	Alex Schachne,Claudio Fuentes	dd010f2a-eb0d-47c6-a17a-4ce62aee823d,6377d597-0259-42c6-a023-ec61e0649585	Gaingels,Founders, Inc.,Carya Venture Partners,David Cramer,Paul Copplestone	8.0	-0.1	-0.9	9.5	8741.0	active	0.5367272072222027
687	Continue AI	Building something incredible in AI. Be back soon.	2021-01-01	Artificial Intelligence (AI),Business Development,Software	1-10	NA	https://www.continueai.com/	New York,New York,United States,North America	5700000	seed	Alon Arad,Beeri Amiel,Yonatan Maor	651ff520-cb67-4e2b-be2f-80887217e7c6,662dba04-916c-403c-9ac2-9edeb717ac00,ae683fee-2612-0287-e900-f51593db604a	Liquid 2 Ventures,Grove Ventures,Ride Ventures,Kindergarten Ventures	4.0	-0.1	0.2	1.1	28531.0	active	0.5374583487296247
3123	Metatable.ai	Metatable.ai is an AI-powered development platform that aims to simplify and accelerate software development by using AI.	2023-01-01	Artificial Intelligence (AI),DevOps,PaaS,SaaS	1-10	NA	https://metatable.ai	Not found	0	seed	Yaroslav Dzyoma	ab7113da-53e1-ad45-1f66-7cedc3c0a928	Marat Kichikov	1.0	1.7	4.9	5.2	257647.0	active	0.5375144327885149
1912	Mobgames.ai	Artificial Intelligence video game development tools	2023-04-01	Artificial Intelligence (AI),Software	1-10	NA	https://mobgames.ai/	Lewes,Delaware,United States,North America	758000	seed	Not found	Not found	Not found	NA	-0.2	-0.1	1.6	92071.0	active	0.5380249090586031
3707	Actively AI	Founded by Stanford AI researchers, Actively AI helps GTM teams 2x pipeline through AI-powered prioritization and personalization.	2021-12-01	Artificial Intelligence (AI),Generative AI,Machine Learning,Marketing Automation,Sales Automation	1-10	NA	https://www.actively.ai	New York,New York,United States,North America	5000000	seed	Anshul Gupta,Mihir Garimella	a2288779-6394-4dcd-81cc-b9d307e156f7,784e9d59-7a8c-4489-a174-959b20b1b477	Neo,Conversion Capital,First Round Capital,Lachy Groom,Stanley Druckenmiller	5.0	NA	NA	NA	NA	active	0.5387898751630884
1460	MagickML	AI Development Engine (AIDE) for advanced machine learning, prompt-chaining, and autonomous agents with full stack deployment.	2022-07-09	Artificial Intelligence (AI),Developer Tools,Enterprise Software,Gaming,Software	11-50	NA	https://magickml.com	Nelson,British Columbia,Canada,North America	500000	seed	Jesse Alton,Michael Sharpe	11b4205c-2325-4472-8a7e-4f612c2db87b,75984f71-a437-4c90-a1c1-e2ded4ca0e9b	Not found	NA	0.0	1.0	1.5	65774.0	active	0.5391859664962675
519	ChainML	a comprehensive solution to integrate customizable generative AI into applications using production-grade AI agents.	2022-06-06	Artificial Intelligence (AI),Blockchain,Information Technology,Machine Learning,Web3	1-10	NA	https://www.chainml.net	San Francisco,California,United States,North America	4000000	seed	David Mueller,Ethan Jackson,Ron Bodkin	c8f6ca00-db6b-300f-df7d-c770de923a9b,5f6deec7-8391-4cbf-b0ca-7a7efd31ad42,dace82aa-8086-1dfd-6ed9-2b00c690bd5f	IOSG Ventures,Hashkey Exchange,NxGen.xyz,SNZ Holding	4.0	1.2	3.6	4.1	21430.0	active	0.5397050253832879
1291	Agenta	Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.	2023-01-01	Apps,Artificial Intelligence (AI),Information Technology,Machine Learning,Open Source,Software	1-10	NA	https://agenta.ai	Berlin,Berlin,Germany,Europe	109555	NA	Akrem Abayed,Mahmoud Mabrouk	a82e99a7-31e1-4388-a98e-82351a068a43,2c93b096-cc2a-4d42-bf9e-84939e172333	Antler	1.0	0.3	0.8	1.5	57535.0	active	0.5401688061301413
2649	My AI	My AI is a global tech startup and core developer of the Me Protocol, a decentralized loyalty rewards ecosystem.	2022-01-01	Artificial Intelligence (AI),Blockchain,Cryptocurrency,Loyalty Programs,Machine Learning,Marketing,Marketplace,Web3	11-50	NA	https://myai.life	Not found	0	seed	Robert Wesley	f63b430b-6f61-42bf-bdeb-6f245c1f6a62	Farfetch,500 Global,Outlier Ventures,Blockchain Founders Group	4.0	0.0	2.1	3.3	162431.0	active	0.5402917060544468
2711	Letter AI	Letter AI is a revenue enablement platform that utilizes AI to enable users to build and maintain collateral and training modules.	2023-01-01	Analytics,Artificial Intelligence (AI),SaaS,Sales Enablement,Software	1-10	NA	https://www.letter.ai/	Chicago,Illinois,United States,North America	0	seed	Not found	Not found	Y Combinator	1.0	0.4	1.4	2.1	172264.0	active	0.5406710591778294
134	Optimizer AI	Optimizer AI creates AI technology to swiftly and simply generate resources required for game and content development.	2023-07-01	Artificial Intelligence (AI),Information Technology,Software	NA	NA	https://www.optimizerai.xyz	San Francisco,California,United States,North America	743375	seed	Not found	Not found	Andreessen Horowitz,Krew Capital	2.0	0.9	0.0	10.0	5520.0	active	0.540754915719168
6	Together AI	Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models.	2022-06-11	Artificial Intelligence (AI),Generative AI,Internet,IT Infrastructure,Open Source	11-50	NA	https://www.together.ai	Menlo Park,California,United States,North America	228500000	early_stage_venture	Ce Zhang,Chris Re,Percy Liang,Vipul Ved Prakash	f3969af6-dc7a-494a-8574-d9ffb67d4c80,566e99e7-c72d-426c-a37b-803b8b665f9b,edc0bcf3-f771-0d36-1589-910baaa606d9,0029836e-5dec-d285-c440-00d33464ede2	NVIDIA,Robot Ventures,Emergence,Kleiner Perkins,Long Journey Ventures	39.0	3.5	8.2	0.0	63.0	active	0.5415800402318246
576	Inworld AI	Inworld AI is a character engine for creating AI NPCs in games and interactive experiences.	2021-07-12	Artificial Intelligence (AI),Gaming,Generative AI,Machine Learning,Virtual Reality	101-250	$1M to $10M	https://inworld.ai	Mountain View,California,United States,North America	125700000	NA	Ilya Gelfenbeyn,Kylan Gibbs,Michael Ermolenko	702bfe64-6b83-4e90-0cfa-1118ad099905,a11843ac-366e-4669-b59c-e94a998ab161,5c72eded-5286-43f0-857d-96e8c196d7c6	Meta,Sequoia Capital,BITKRAFT Ventures,Stanford University,Lightspeed Venture Partners	26.0	-0.3	-0.4	-0.3	23711.0	active	0.5418114765594781
404	Zep AI	Zep AI provides scalable blocks in AI to build apps in minutes without rewriting code.	2023-01-01	Artificial Intelligence (AI),Enterprise Software,Generative AI,SaaS	1-10	NA	https://www.getzep.com/	San Francisco,California,United States,North America	2303000	seed	Daniel Chalef	d0109622-7a18-8ef5-5c0a-9516c46a159a	Y Combinator,Engineering Capital	2.0	0.9	5.3	-0.4	16757.0	active	0.5418614351057522
2542	Open KX	An AI agent trained in business & technology to empower colaborators (+25 industries, +1.3k Business Drivers & +100k B2B assets).	2023-03-01	Artificial Intelligence (AI),Business Development,Consulting,Information Technology	1-10	NA	http://www.openkx.wiki	Not found	27000	seed	Gustavo Chavez	a268fc86-714c-4397-b65a-f5ed914127a7	Not found	NA	-0.1	-0.2	3.2	144846.0	active	0.5419290652993702
