	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
19	Lakmoos	Instant research. We aim to replace 20 % of surveys with real-time consumer insights by 2030, saving $30B and 35B hours globally each year.	2023-05-30	Market Research,SaaS	11-50	NA	https://Lakmoos.com	Brno,Jihomoravsky kraj,Czech Republic,Europe	553016	seed	Jan Polisensky,Kamila Zahradnickova,Roman Konecny	d82b687f-8902-47bf-8dd4-f4bacda534b3,a38b6b63-7f23-4150-a000-2964e312a81b,8429eb38-58b9-46ec-a179-9bc5995d13d4	Presto Ventures,Sedlakova Legal	2.0	0.0	3.2	6.4	39968.0	active	0.590220482278756
17	Emporia Research	Emporia is a self-serve B2B research platform built for collecting on-demand insights from any professional audience.	2021-05-14	Artificial Intelligence (AI),B2B,Market Research,Software	1-10	NA	https://www.emporiaresearch.com	New York,New York,United States,North America	1100000	seed	Not found	Not found	(ERA) Entrepreneurs Roundtable Accelerator	1.0	0.1	1.6	1.7	38468.0	active	0.5978979642734463
84	sens	AI-Powered Market Research	2021-01-01	Artificial Intelligence (AI),Information Technology,Market Research	1-10	NA	https://sens.digital/	Dublin,Dublin,Ireland,Europe	200000	seed	Jacqui Young,Per Lagerstrom	d90ce834-906a-4da8-956c-00202ec176e6,86888a53-d984-4b1f-abe6-7a53f12f5bae	Not found	NA	-0.2	-0.2	3.6	141759.0	active	0.6128638843277084
24	Reveall	B2B SaaS platform for managing customer insights from customer research and feedback.	2021-06-07	Consumer Research,Information Technology,Market Research,Product Research,SaaS,Software	1-10	NA	https://reveall.co	Amsterdam,Noord-Holland,The Netherlands,Europe	1688640	m_and_a	Dwayne Pascal,Ferdinand Goetzen,Marcel Hagedoorn	bc19f327-cb8a-4695-a2ad-e99d6c7c3e68,5c8859d2-b14a-db32-cef2-2ae4fe4c4e56,f4823fc7-a24d-465c-9353-c45e3cfc3c96	DFF (Dutch Founders Fund),Fortino Capital	2.0	0.3	1.1	-0.3	46303.0	active	0.6233063135008551
127	LOOKA Research	LOOKA is building the end-to-end toolkit to help companies and agencies to conduct iterative research with African consumers	2021-01-01	Analytics,Market Research,SaaS,Software	11-50	NA	https://www.getlooka.com/	Dakar,Dakar,Senegal,Africa	0	seed	Not found	Not found	Not found	NA	-0.2	3.8	3.8	423605.0	active	0.6245938406076791
92	Noetic Digital	B2B, agile market research SaaS, that automatically uncovers consumer-directed-insight at scale, through conversational-surveys.	2022-03-01	Artificial Intelligence (AI),Market Research	1-10	Less than $1M	https://noeticdigital.info/	Middletown,Delaware,United States,North America	90000	seed	George Reed	e83b83b6-e1c2-4f08-9a99-dcf18bef326d	Not found	NA	-0.1	1.8	1.0	156478.0	active	0.6369197422881359
29	GetCurious (formerly UserStudy)	UserStudy helps product teams do deeper research, faster	2022-04-01	Market Research,SaaS,UX Design	11-50	$1M to $10M	https://userstudy.co/	Bangalore,Karnataka,India,Asia	1000000	seed	Anshul Divakar,Nitin Matiyali	5f0b78b0-1eda-3e72-5aa8-84b29294ac2e,64e0e995-a810-484a-8e1c-c765122224dc	Better Capital,Sparrow Capital	2.0	-0.1	-0.1	-0.4	49565.0	active	0.6427893881186002
110	Elis	Elis helps companies find answers to the most important questions facing their business by using AI to collect customer insights.	2021-01-01	Consumer Research,Information Technology,Market Research,Product Research,Software	1-10	NA	http://www.elis.io/	New York,New York,United States,North America	0	NA	Kene Anoliefo,Tristan Jehan	9d88a354-9752-49e2-934d-bd17f2e9a31d,39e0a6f3-467b-e499-7403-a16f7a8587eb	Precursor Ventures	1.0	0.4	1.0	1.3	239270.0	active	0.6440875798681194
34	tellet.ai	Saas for market research industry	2023-01-01	Market Research,SaaS	1-10	NA	https://www.tellet.ai	Amsterdam,Noord-Holland,The Netherlands,Europe	431500	seed	Greg Burke,Luc Maas,Merik te Grotenhuis,Pim Verbij	44aa4c81-4ce3-44a4-ad66-ac79ec7c6cb7,52b4a9e5-1f67-4f79-8cc3-7a4c9583a9a2,538978ab-23ed-4d85-bbc6-aaa78d07d6bc,e4306dc1-13f4-eb08-7ccd-479fc0f38327	Not found	NA	0.4	2.1	-0.1	54533.0	active	0.6569290098276637
68	Veris Behavior	We develop Virtual Reality, Neuromarketing, and Data Science technology for immersive consumer studies.	2021-02-18	Market Research,Virtual Reality	1-10	$1M to $10M	https://verisbehavior.com/	San Sebastian,Pais Vasco,Spain,Europe	135758	seed	Alekos Martínez	90a99216-523b-44d6-bd68-054b2337514f	Eywa Space	1.0	-0.1	0.0	0.4	103961.0	active	0.6575486695320981
22	Horizon	Horizon is a B2B SaaS company that offers behavioral consumer data.	2021-10-29	B2B,Market Research,SaaS,Software	11-50	$1M to $10M	https://www.gethorizon.net	Mainz,Rheinland-Pfalz,Germany,Europe	1400000	seed	Daniel Putsche,Lutz Petrean	7be1022f-0d2c-4d62-8726-f75dbacb447c,2d131d61-856e-418d-91d3-fee5c101a77f	VentureOut,Andy Wing,Dr. Marco Adelt,Sebastian Heinz,Henry Piney	6.0	0.7	2.2	1.0	43208.0	active	0.6589931888698697
66	CivicSync	CivicSync offers an AI survey tool to help market research firms get survey answers from thousands of people in minutes.	2023-01-01	Information Technology,Market Research	1-10	NA	https://www.civicsync.com/	Carmichael,California,United States,North America	120000	seed	Moshe Borouchov	a219293a-35b5-437e-b042-92c7e7d623cd	Techstars	1.0	0.0	2.2	3.1	99019.0	active	0.6627178881935714
143	Voicepanel	Voicepanel makes it simple for businesses to obtain valuable feedback on their products and services.	2023-01-01	B2B,Information Technology,Internet,Market Research	1-10	NA	https://voicepanel.co	San Francisco,California,United States,North America	500000	seed	Not found	Not found	Y Combinator	1.0	NA	NA	NA	NA	active	0.6628252432877206
60	Courus	Courus is an artificial intelligence company that provides real time market research and actionable insights.	2022-09-01	Artificial Intelligence (AI),Machine Learning,Market Research	1-10	NA	https://www.courus.ai	Not found	575000	seed	Scott Duffy	ca1c309e-df83-219f-04b6-fae04c1396e0	Travel Capitalist Ventures **Only Travel/Tourism**	1.0	-0.2	-0.5	-0.1	93240.0	active	0.6639352550740929
1	Highlight	Highlight is a market research platform that facilitates efficient, agile, and scaled at-home product testing.	2021-01-01	Information Technology,Market Research,Software	51-100	$10M to $50M	https://www.letshighlight.com/	New York,New York,United States,North America	26200000	early_stage_venture	Dana Kim,Ethan Kellough	1f0d53e3-1c30-4c24-90cf-2fc2849e699d,b8264aa0-d303-4c08-81d8-3f697305dfef	Alumni Ventures,Scribble Ventures,HearstLab,Operator Partners,Eudemian Ventures	16.0	0.9	4.0	5.3	3807.0	active	0.6663597788816265
101	igonogo	igonogo is a web-based platform that combines the simplicity of online surveys with the precision of laboratory measurements.	2021-01-01	Business Intelligence,Market Research,Training	1-10	NA	https://igonogo.io/	Grenoble,Rhone-Alpes,France,Europe	378158	NA	Not found	Not found	Business Angels	1.0	-0.2	-0.3	-0.7	180782.0	active	0.6690721252345655
35	Ideally	Ideally is an on-demand insights and innovation platform that enables clients to rapidly test concepts, ideas and messages	2023-01-01	Market Research	1-10	NA	https://www.goideally.com	Auckland,Auckland,New Zealand,Oceania	2150000	seed	Brendan Cervin,James Donald	7a7fbb64-3b8a-00e9-cf3d-7b5b7cf0503a,6a8461d5-2072-4baa-955c-a854a538af76	Icehouse Ventures,Previously	2.0	0.0	1.5	-0.5	57898.0	active	0.6695038393081167
133	VoxPop	Data storytelling and market analysis agency	2021-03-01	Augmented Reality,Business Intelligence,Consulting,Data Visualization,Graphic Design,Market Research,Video Games,Virtual Reality	1-10	NA	https://www.voxpopinsights.com	Not found	0	seed	Stephanie Llamas	f8730e97-9080-1e1e-aab8-c5135d8a4e55	Not found	NA	4.2	1.4	0.0	1066186.0	active	0.6711357639759066
39	SweepLift, Inc.	The first real-world pre-testing system for matching online audiences with ad creative.	2021-01-01	Advertising,Analytics,Consumer Research,Market Research,Marketing,Predictive Analytics	11-50	$1M to $10M	https://www.sweeplift.com	Brooklyn,New York,United States,North America	2750000	seed	Keith Wright	6fc444a8-031f-8fb9-763b-c656a2bf1dd4	Mike Eberhard,Brad Gillespie,Larry Warsh,David Bos,Eric Schnabel	10.0	0.6	-0.3	-0.1	63896.0	active	0.676878756885025
145	Carpoll	Mobile Computing Software Products	2023-09-01	Consumer Research,Data Collection and Labeling,Market Research,Marketplace,Software	1-10	NA	https://www.carpoll.uk/	London,England,United Kingdom,Europe	0	m_and_a	Yoad Tzor,Yossi Hasson	dd6377ca-15e8-41b6-bf4b-848ee6d31603,61668480-09a1-4f69-94d6-4865eb1a22ca	Guy Ben Zvi	1.0	NA	NA	NA	NA	active	0.6779700418961669
113	Humanify Technologies	Humanify Technologies designs human centric products.	2022-01-01	Market Research	1-10	NA	https://www.humanifytechnologies.com/	Andheri,Maharashtra,India,Asia	0	seed	Not found	Not found	Godrej	1.0	1.3	1.3	0.0	266389.0	active	0.6788061202162143
90	Subconscious.ai	Working to understand why any human makes any decision. We believe in Responsible AI to enable reasoning about cause and effect, at scale.	2022-11-11	Artificial Intelligence (AI),Consumer Research,Market Research,Product Research,Software	1-10	NA	https://www.subconscious.ai/	New York,New York,United States,North America	0	NA	Avi Yashchin,Howard Moskowitz	06367773-e77e-9bc6-4c43-64a5faebb474,c930be5d-3f13-4667-908b-2482302cd0a3	Tampa Bay Innovation Center	1.0	0.2	0.0	0.7	153070.0	active	0.6823786128124492
26	MarketReader	MarketReader is a market analytics company that analyzes and provides intraday real time price action for investors.	2021-01-01	Analytics,Content Marketing,Information Services,Market Research	1-10	$1M to $10M	http://www.marketreader.com	New York,New York,United States,North America	3100000	seed	Jens Nordvig	e5e80223-75cd-49c4-8cd5-56ab3d4eba42	Not found	NA	0.3	1.3	-0.4	46629.0	active	0.683412286177054
18	Vurvey	Vurvey is a video-powered creator network for brands	2021-01-01	Consumer Research,Market Research,Social Media,Social Media Marketing,Social Network	11-50	$1M to $10M	https://vurvey.co/	Cincinnati,Ohio,United States,North America	1000000	seed	.x .x,Chad Reynolds	db57dc0a-2cd9-45ae-87e3-3cd46afc7abc,532f6748-9c50-4eb1-bcee-f18d5077dd08	Eagle Venture Fund	1.0	0.0	0.2	0.5	38854.0	active	0.6853552208563469
8	Portrait Analytics	Portrait Analytics creates a generative AI research assistant that helps analysts accelerate and deepen investment research.	2022-01-01	Analytics,Artificial Intelligence (AI),Financial Services,Generative AI,Market Research	1-10	$1M to $10M	https://portrait-analytics.com	Boston,Massachusetts,United States,North America	10000000	seed	David Plon	dc4b2c9c-4a01-4bd0-8510-b5fe0c7d667f	Unusual Ventures,.406 Ventures	2.0	-0.2	0.1	0.8	13873.0	active	0.6856518755600958
62	Oomiji Inc.	Customer Engagement Platform that enables clients to build customer relationships based on their interests, needs, perceptions and emotions.	2022-07-06	Advertising,Analytics,CRM,Information Technology,Market Research,Marketing,SaaS,Software	1-10	Less than $1M	https://www.oomiji.com/	New York,New York,United States,North America	250000	seed	Jon Stamell,Lidija Markes,Mark Troy	d400850e-dbe0-c3fd-de62-9a3ab325ec78,d4ab2c8d-a746-4e4c-97be-93ca2aebee23,b575ae1b-0b53-47ec-92e8-ed932d4b0263	Newchip Accelerator	1.0	-0.2	-0.1	-0.2	96189.0	active	0.6926324893733228
107	Huemagine	Culture reimagined. SaaS	2021-03-08	Market Research,Software	1-10	NA	https://www.huemagine	Avon,Indiana,United States,North America	1000	seed	Angella Guajardo,Tonie Guajardo	df158d8b-7c69-47ed-8647-6a4935a48c28,c0f9ab5f-2d47-2c25-fc9a-a6b1eee99487	Not found	NA	0.2	1.9	6.1	223897.0	active	0.6960887662446387
99	Sport Business Lab Consultancy	Sport Business Lab Consultancy is a sports observatory that helps users and companies to find all the data on the Sports Market.	2021-01-01	Analytics,Big Data,Business Intelligence,Consumer Research,Data Visualization,Database,Geospatial,Location Based Services,Market Research	1-10	Less than $1M	http://www.sblconsultancy.it	Rome,Lazio,Italy,Europe	111320	seed	Valerio della Sala	e2bab739-145d-4ca0-bdd2-c50738e5c8df	European Union	1.0	-0.2	-0.2	1.1	179827.0	active	0.7017831622605496
88	AnalystPro	Research without the hassle. We maximise research performance efficiency for analysts with an AI-powered, automation-driven tool.	2021-04-10	Artificial Intelligence (AI),Consulting,Information Technology,Management Consulting,Market Research,Productivity Tools,Software	1-10	NA	https://analystpro.io/	London,England,United Kingdom,Europe	70000	NA	Emin Can Turan,Joseph Heade	b3f3fc56-542c-4bb7-a589-c54f5ecd6a4c,0e877f1b-0b0f-47a1-a028-94d26eb68e3f	Not found	NA	0.2	0.4	0.4	150409.0	active	0.7031167938577259
67	Superinsight	Get insights about your business in 30 seconds	2023-02-12	Artificial Intelligence (AI),Document Management,Personal Development	1-10	NA	https://www.superinsight.ai	Menlo Park,California,United States,North America	120000	seed	Nelson Chu	44c5e44b-4cdd-40a0-8ac3-7a2251b6535b	Techstars	1.0	-0.2	-0.3	0.0	101879.0	active	0.7066075794521647
0	Tracksuit	Tracksuit is the beautiful, always-on and radically affordable way for companies to measure, understand and communicate the value of brand.	2021-01-01	Brand Marketing,Market Research,SaaS,Software	11-50	$1M to $10M	https://www.gotracksuit.com	Auckland,Auckland,New Zealand,Oceania	18342927	early_stage_venture	Connor Archbold,Matthew Herbert	4cfc0828-1fca-495d-b7f4-572f8ff50496,149baeec-f1e7-4590-a1eb-4ed99b16d2d6	Ascential,Icehouse Ventures,Footwork,AirAngels,Lenny Rachitsky	11.0	-1.0	-0.5	9.8	800.0	active	0.7075383989738906
61	B'onwterp Labs	Nederland's First Digital Sustainable Fashion Research House.	2021-02-28	Consumer Research,Fashion,Market Research,Product Design,Product Research,Social Entrepreneurship,Sustainability	11-50	NA	NA	Amsterdam,Noord-Holland,The Netherlands,Europe	17645086	private_equity	Not found	Not found	AASAN HOUSE	1.0	0.2	0.2	-0.6	93576.0	active	0.7096295244238635
28	IMAI	IMAI is Influencer Markteting Search & Analyze AI-Driven Platform	2021-01-01	Advertising,Analytics,Market Research,Marketing,Software	11-50	$1M to $10M	https://influencermarketing.ai/	Tel Aviv,Tel Aviv,Israel,Asia	750000	seed	Eran Nizri	240d4e0c-afe4-486b-9866-c9fcabb23450	Intango Digital Marketing Accelerator	1.0	0.3	1.8	1.0	48961.0	active	0.7114034583753888
23	Cube Asia	Cube Asia is a modern market intelligence company focused on Southeast Asia’s online retail environment.	2022-01-01	Analytics,Business Intelligence,Market Research	1-10	$1M to $10M	https://cube.asia	Singapore,Central Region,Singapore,Asia	1500000	seed	Not found	Not found	M Venture Partners (MVP),Wavemaker Partners,Raghav Kapoor,Julian Artopé,Victor Paterno	5.0	0.5	1.4	1.9	45974.0	active	0.7136636636050252
94	Fomova	Fomova is a community platform that encourages customer collaboration.	2021-01-01	Collaboration,Market Research,Product Research	1-10	NA	https://fomova.com/	Sheffield,Sheffield,United Kingdom,Europe	160945	seed	Not found	Not found	Antler	1.0	1.1	-0.1	-0.1	159337.0	active	0.7144413572320827
140	Finnosight	A data-driven research and venture company specializing in transformational innovation in financial services.	2022-01-01	Financial Services,FinTech,Innovation Management,Market Research,Product Research	1-10	NA	http://www.finnosight.com/	Yau Tsim Mong,Kowloon,Hong Kong,Asia	0	NA	Not found	Not found	Not found	NA	0.1	-0.2	-0.9	2839766.0	active	0.7165044648970016
128	Chemiprobe	Chemiprobe is an innovative market research and intelligence start-up with focus on the emerging chemical market in the middle-east	2021-02-02	Business Intelligence,Chemical,Chemical Engineering,Market Research	1-10	NA	https://www.chemiprobe.com	Amman,Amman,Jordan,Asia	9000	seed	Amr Muhaisen	46f2af1f-1f16-4e9e-89ef-1a3d49f4b329	Not found	NA	-0.2	-0.5	-0.9	440112.0	active	0.7177694130954075
93	Wagawin by W² Group	The engagement advertising company	2023-01-01	Advertising,Analytics,Data Management,Digital Media,Market Research	11-50	$1M to $10M	https://www.wagawin.com/	Munich,Bayern,Germany,Europe	689744	NA	Andreas Merold,Dominik Hagl,Nicolas Leonhardt	7747fa1f-91c8-49cf-a58a-8739be1a91ec,fdd4a511-b73d-45b1-b52c-d64f6ecd536f,2d6b9b81-8634-45a3-b3f5-fea5f25efd2c	Pride Capital Partners,Dr. Cornelius Boersch,SAP.iO,Jochen Tuchbreiter,Werner Brockhagen	5.0	-0.8	-0.7	-0.5	156846.0	active	0.7199334193497904
147	Fathom	Fathom provides text analytics software to help understand open-ended text for employee, customer & public opinion research	2022-01-01	Analytics,Market Research,Software	1-10	NA	https://www.fathomthat.ai/	Vancouver,British Columbia,Canada,North America	300000	seed	Not found	Not found	Frontier Venture Capital	1.0	NA	NA	NA	NA	active	0.7204298744247195
25	aVenture	Research platform for venture capital backed companies and their investors	2022-04-26	Analytics,Angel Investment,Business Intelligence,Cloud Data Services,Financial Exchanges,Financial Services,FinTech,Funding Platform,Market Research,Venture Capital	11-50	NA	https://aventure.vc	San Francisco,California,United States,North America	785000	seed	William Callahan, CFA	6a795416-34de-4e39-9359-ab30fb7a6049	Techstars	1.0	0.0	-0.2	-0.5	46582.0	active	0.7205700679633633
136	Plan Click	Plan Click evaluates project viability utilizing powerful artificial intelligence tools.	2023-01-01	Artificial Intelligence (AI),Market Research	1-10	NA	NA	Not found	0	NA	Not found	Not found	Digital Incubation Center	1.0	-0.4	-0.7	3.7	1394280.0	active	0.7206044077809164
81	Cometrics.io	Business Intelligence service focused on deciphering, filtering and normalizing corporate communications across specific ESG Themes.	2021-01-01	Business Intelligence,Market Research	1-10	NA	http://www.cometrics.io	St. John's,Newfoundland,Canada,North America	400000	seed	Ed Clarke	eac76672-55ff-6e8a-ce32-b6f32284197c	Not found	NA	1.0	2.5	0.0	131597.0	active	0.720852975844892
37	Showdrop	Showdrop builds a better way for CPG brands to run powerful sampling campaigns at scale.	2021-08-01	Analytics,Brand Marketing,Information Technology,Market Research	1-10	NA	https://www.showdrop.com/	Chicago,Illinois,United States,North America	1100000	seed	Alex Segura	3532bc59-12d8-47aa-89af-bb1bbd9dd47d	New Stack Ventures,Bling Capital	2.0	0.1	0.5	-0.1	63539.0	active	0.721770426432017
83	Corq	Corq is a conversation intelligence tool that helps teams extract more information from customer conversations.	2021-01-01	Information Technology,Market Research,Software	1-10	NA	https://www.corq.io/	San Francisco,California,United States,North America	800000	seed	Alexander Hanthorn,Chris Gosselin,Scott Hanford	ab7fd677-4e66-4367-95f1-5b5502a48679,3df383e4-cc66-435e-a9c9-f3c51d4e0fe9,24703fb7-1f42-4b13-80bd-c479b8d0e8c0	Not found	NA	0.0	-0.1	1.5	135560.0	active	0.7218761599920326
77	Mataono	Mataono is a SaaS which turns meetings into experiences based on emotions	2021-01-01	Corporate Training,Market Research,SaaS,Sales,Software	11-50	Less than $1M	https://www.mataono.com	Dresden,Sachsen,Germany,Europe	953813	seed	Christian Dimanski	15b6386b-a765-43c5-8358-93f924f23cb2	Not found	NA	-0.2	-0.2	-0.2	119325.0	active	0.7226153596593856
21	neuroflash	neuroflash’s AI powered marketing copy creation software helps marketing teams create highly effective short copy at scale.	2022-01-01	Artificial Intelligence (AI),Big Data,Internet,Market Research,Natural Language Processing,Neuroscience,SaaS,Software	11-50	NA	https://neuroflash.com	Hamburg,Hamburg,Germany,Europe	800000	seed	Henrik Büning,Henrik Roth,Jens Windel,Jonathan Mall	c2374257-6537-413b-b621-0c4b06a64b23,9c3a82ff-c70c-4b3d-a376-15073aee7b8d,b7c79ddb-fcdd-4e37-8395-156936daff7b,e5fc9807-b063-5bd4-7e4e-af4450eb40ee	Microsoft Accelerator Berlin,Michael Diehl	2.0	-0.3	0.0	0.0	42855.0	active	0.7236828093798733
82	ITMAP	IT Market Research, Advisory and Consulting services	2022-08-01	Artificial Intelligence (AI),Consulting,Market Research	1-10	NA	https://itmap.com	Dubai,Dubai,United Arab Emirates,Asia	250000	seed	Not found	Not found	Not found	NA	0.3	0.0	-0.4	134779.0	active	0.7237121071587531
58	Advancepay	AdvancePay offers a marketing technology platform that empowers brands with pricing data and benchmarketing for the social commerce space.	2022-05-01	Advertising,Big Data,Information Technology,Market Research,Marketing,Software	1-10	NA	https://www.advancepay.io	Pacific Palisades,California,United States,North America	200000	seed	John Crestani	17c74963-2cfa-21b4-9bb0-cafadefd2947	Antler,Launch House,Jason Xie	3.0	1.0	1.0	1.1	87642.0	active	0.727741685604698
