	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
36	Homi TV	Homi streams award-winning African movies and lifestyle shows from over forty (40) countries in Africa.	2021-01-01	Media and Entertainment,Video Streaming	11-50	NA	https://homitv.com	Middletown,Delaware,United States,North America	660000	seed	Enock Ofosu Mensah,Fawaz Yunus,Kwame Basoah,Kwame Mensah Twum	5a58fb3c-a244-4a0f-888c-90533471b164,60c70fc3-ca44-4274-a56a-7236f8313244,9046fbb3-c0ad-4a7d-ac16-661dd8610b0c,ce3a2973-67b7-44a4-b88a-f4150856d315	Trayton Technologies,Carl Moodo Holdings	2.0	0.0	-0.4	-0.4	70010.0	active	0.5508507301828525
12	Playcast.io	Playcast.io is an entertainment company that offers peer to peer interactive game streaming services.	2021-01-01	Gaming,Video Games,Video Streaming	1-10	NA	https://playcast.io/	Seattle,Washington,United States,North America	4672000	seed	Not found	Not found	Not found	NA	-0.2	-1.1	9.9	31702.0	active	0.5892922901275046
1	Angel Studios	Angel Studios is a video streaming service and media company that finances its productions through equity crowdfunding.	2021-03-01	Digital Entertainment,Film Production,Media and Entertainment,TV Production,Video Streaming	51-100	$100M to $500M	https://www.angel.com	Provo,Utah,United States,North America	77516316	NA	Jordan Harmon,Neal Harmon	1cd1295e-52ec-313c-a5dd-e9ee73d84d90,281ee631-9b6c-2081-24ef-7880f332995d	Uncorrelated Ventures,Kickstart,Gigafund,Alta Ventures Mexico	4.0	2.0	5.2	5.1	2634.0	active	0.5973965394609355
112	Rangkai	"""Film Online"" an Indonesian TVOD Entertainment-Tech startup company."	2021-10-28	Digital Entertainment,Film Distribution,Information Technology,Media and Entertainment,Video on Demand,Video Streaming	1-10	NA	https://www.rangkai.id	Jakarta,Jakarta Raya,Indonesia,Asia	0	seed	Bernadeth Frederika,Muhammad Abraham,Redemptus Rangga	bdd12a2c-e8c8-4e19-9105-6f45118bd6ae,d4219684-64ce-4d05-92d6-f3a9069d7a61,a55e7329-7c84-40b0-9b0a-b3fd4ecd5f7a	Not found	NA	-0.3	-0.1	-0.6	761519.0	active	0.5999644918243223
6	Nebula	Nebula is a streaming video and technology platform.	2021-01-01	Content Creators,Video Streaming	11-50	NA	https://nebula.app/	New York,New York,United States,North America	6000000	NA	Dave Wiskus	bd677b9a-02a1-4312-a71b-26dc8c2a6432	CuriosityStream	1.0	0.1	1.9	3.3	14515.0	active	0.60258619950545
15	GrabTV	GrabTV is an interactive television platform as a service (PaaS) specializing in T-commerce.	2023-02-27	Media and Entertainment,TV,TV Production	1-10	NA	https://grabtv.com	Dover,Delaware,United States,North America	3439000	seed	Lincoln Berry III	9ad58578-b035-4f8a-8c15-22ba1e0f54d3	Not found	NA	0.0	0.1	1.3	40010.0	active	0.6172322597144742
60	OMTV	OMTV is a OTT network to showcase content pertaining to Indian culture.	2021-01-01	Media and Entertainment,TV	11-50	NA	https://sribahubali.com	Mumbai,Maharashtra,India,Asia	51615	seed	Not found	Not found	Raj Kumar Jalan,Subhash Jalan	2.0	0.4	1.8	2.0	104081.0	active	0.6211293620355745
32	EINBLIQ.IO	EINBLIQ.IO helps media companies to reliably deliver excellent video streaming services at lower cost while optimizing for energy efficiency	2021-01-01	Analytics,Broadcasting,Cloud Data Services,Content Delivery Network,Energy Efficiency,Sustainability,Video Streaming	1-10	Less than $1M	https://einbliq.io/en	München,Bayern,Germany,Europe	352195	seed	Ralf Neudel,Sebastian Siepe	ea885639-82cc-4df8-a082-7b97e60d2e5c,c4d520f4-5a5a-44c0-b4f8-3e532a66df85	European Commission,Comcast NBCUniversal SportsTech,Media Lab Bayern	3.0	0.0	2.0	3.5	63660.0	active	0.6228732736595615
35	Stream Shop	A new, interactive and efficient online shopping video interface for e-commerces	2021-01-02	E-Commerce,Video Streaming	11-50	$1M to $10M	https://streamshop.com.br/	São Paulo,Sao Paulo,Brazil,South America	1100000	seed	Marcio Machado	249e44a5-8f35-4b9f-a5f3-99b1b1d75b28	Not found	NA	0.0	0.9	0.8	68756.0	active	0.625211475416028
48	fanaticTV	...a L!VE Hosted TV PARTY! (in your pocket)	2022-01-01	Consumer Applications,Digital Entertainment,Gamification,Generative AI,Media and Entertainment,Mobile Apps,Social Network,Video Streaming	1-10	NA	http://www.fanaticTV.com	Denver,Colorado,United States,North America	500000	seed	Drew Massey,Jonathan Simpson-Bint	346c6712-e670-fe37-486d-1e3414836ae8,864faf12-1df3-3bb8-a027-b99982ff633a	Not found	NA	-0.2	-0.2	4.8	87864.0	active	0.6255788489770937
